payer,receiver,amount
114381,981547,68397.71
207471,1054002,65223.96
64972,72925,30302.81
261355,53532,30010.66
145098,1524611,28838.18
2828,1317274,29645.05
404663,198657,30363.71
509,1147056,24224.07
59108,261953,30762.09
10804,995594,25854.21
162475,946485,91415.06
13290,1018989,57730.03
422532,5505,71888.92
82759,963564,28380.49
213468,1070258,31662.46
376510,1104781,62496.65
203197,987695,60826.66
223171,1157883,112236.69
126098,17749,39256.68
13290,66570,37243.34
232555,1374024,27963.37
221992,152274,59668.38
404663,947318,19988.79
186652,1343214,29198.06
74156,1231707,22653.35
25413,1058530,35545.26
229687,1166065,28410.94
694328,261562,92104.36
138177,1209838,88225.19
426741,95496,45153.98
35904,1042246,31464.28
80321,1358389,27579.08
208449,788030,27730.69
327466,116020,33588.35
159996,1245834,23844.19
215576,1130131,27321.17
246357,467469,99052.74
642370,1302752,43182.46
98664,1480003,61542.31
51390,1117582,88890.99
116570,128568,31745.12
128353,1462888,96669.01
124289,228561,43649.71
123035,972702,32412.26
23305,968712,35933.69
186046,1161039,76324.83
605101,1027121,30222.53
581834,1279076,33435.89
84260,1439285,33060.7
339289,1490485,26490.86
80321,1180444,71489.58
260422,1160753,33512.75
62303,178761,26150.38
518019,313064,34683.22
105062,1443126,24596.27
57712,1207082,24172.21
59611,191940,75558.33
189352,92068,101124.04
167814,1217306,38545.21
139071,963584,83197.15
438595,177902,61879.39
241514,1013822,33078.41
148195,28473,63945.39
187290,35615,10183.05
67927,221554,31598.62
124702,1207374,98529.83
214137,1163343,65046.07
236353,1454463,28523.99
333010,1454665,36802.31
899853,71279,109351.35
12541,261562,71264.4
289583,188010,24905.41
55063,23064,48420.1
112073,1062307,34523.48
167858,1091558,36783.95
210028,701839,27260.41
124289,92414,79223.83
6277,630490,56023.51
635757,1177685,31040.85
321613,1124544,84524.57
135399,1117908,20323.81
659085,1321237,34598.57
484212,319591,76023.62
222336,187148,25441.76
13168,43469,27986.74
138412,967953,48941.46
21430,155031,25546.38
395342,946071,60371.63
138412,110441,26229.59
225272,1177685,74651.1
381132,1062263,21983.3
117290,988051,36921.7
514726,262063,32685.99
95358,277284,27638.24
123956,1217191,112498.7
58129,222700,65743.58
656825,952604,62776.1
29318,290390,68404.22
45914,1098598,73919.05
395006,1350484,35481.92
194017,945758,27811.12
153034,125702,31960.96
82759,1415856,39279.78
1191209,1127111,92562.76
194208,1358389,40936.81
58577,1431270,109927.3
186987,27000,29174.13
1102819,74044,31172.84
885805,1266439,36639.91
223677,151263,50843.1
181783,271665,27294.13
178013,511574,32837.07
220336,988084,62484.23
236326,1261971,34219.72
76235,1537903,33211.97
202827,1201573,32902.9
6547,1531561,74453.16
455042,101891,31211.72
10002,1306181,55287.2
25321,187121,72521.75
214867,32324,32372.52
421788,737060,76482.7
131766,1062324,30353.05
665361,146430,30461.09
27131,1358912,30077.94
149973,915222,101326.07
175188,1069731,37609.45
395342,565528,32945.41
2785,477183,34353.72
125804,14554,58542.32
116999,1017751,89453.49
213468,4788,31654.58
198164,1062784,31408.05
462928,313064,24990.44
64972,1185616,83430.77
82969,1034573,30884.5
455042,948010,30829.04
149731,44525,26663.02
142065,963584,88576.05
148130,1115274,25823.9
49604,423404,34439.58
71382,1115274,40705.23
32844,1177685,28994.01
219066,1201402,29953.56
517880,1142864,28765.65
349533,1443231,49900.33
235412,365479,26992.89
321334,794653,83601.9
124289,239511,34103.8
13698,174139,35657.03
200742,961614,53610.92
565791,17276,71823.73
159466,1285598,31069.09
112907,1207374,64876.9
1513883,130425,36721.39
190329,958288,33130.97
38038,1236911,63397.74
83840,1219889,108113.29
455048,1514086,90091.81
77181,1315796,21576.32
181783,1061975,32126.61
112523,637711,30814.41
120697,47980,34175
138177,736826,34728.69
67303,68541,36220.69
216016,47984,43415.54
801840,43192,48345.69
222592,319591,66549.38
881285,1522731,45403.06
252377,946875,68376.07
296743,9465,27561.61
13251,946283,39313.19
223947,477183,81608.4
243068,199845,35875.93
103806,68606,30350.58
169569,261953,72423.98
217083,1101505,114811.56
120830,315248,67631.58
487669,963679,75821.66
9536,1375501,30878.73
234811,1177859,31223.56
349473,410139,29623.33
61251,1000749,50358.01
168119,430541,78376.12
131047,1454463,58321.49
224583,130425,73823.97
42310,1308141,36852.8
167464,163622,26997.71
98664,1038630,91158.28
179141,821072,102758.27
97076,265980,28830.68
338521,588871,36494.5
108732,59345,67999.59
148130,1534125,128228.9
108258,214663,36261.98
15132,973091,23640.15
221992,20302,38377.55
32266,174283,29797.41
81332,63181,34097.37
228393,9465,64947.11
626321,488785,29143.69
147652,278940,30789.61
111699,1587462,51685.26
223677,1405925,27803.61
125804,239415,28499.2
32966,135295,40773.26
250726,1261500,38573.99
178410,182333,43976.73
684884,1306181,28565.13
146543,212386,56287.19
230820,120330,50518.8
64352,1405925,56787.19
103850,32324,23366.34
111123,1214395,32155.3
142065,947127,83570.2
224583,1047128,36718.42
678827,192320,84278.65
185531,1047528,80874.83
109781,963679,37619.36
197249,1450694,24684.23
138177,962775,26347.5
89947,968028,37839.68
76426,410139,32590.26
83840,78426,28912.95
71710,1157613,31614.49
80500,592304,30922.38
160744,996078,85671.28
946025,794252,30122.65
126098,1420043,61161.47
164308,214663,91470.94
133383,94249,32354.22
376510,1058756,63993.83
142875,1178111,84689.61
129510,1201425,58599.29
124089,1287810,40936.2
1184996,1207082,33092.72
10804,1517992,70284.27
144955,49889,33302.35
178030,1120896,30654.43
13211,987922,25513.99
155742,155200,44697.71
201802,952122,48131.26
609881,1088869,37486.03
248604,1042782,31048.48
258561,39881,72380.09
74388,1246375,62215.05
169036,1097961,28756.09
130770,695991,66277.34
107975,957262,93846.92
381132,1263896,25519.06
104944,1026985,104374.59
14039,1084055,29787.39
217083,1117908,37346.81
253615,713973,33023.99
8943,74408,26051.14
18267,1062784,45075.42
15991,1458307,71178.78
565811,31384,30324.25
594946,1098647,29564.96
171833,117081,27085.32
159348,968394,22659.08
148526,224812,40781.24
10043,220121,27853.54
782474,947439,34688.86
303267,997089,25698.74
216771,1026061,30184.01
109645,1245988,76778.02
222728,1432339,32323.18
33004,1065737,39445.45
236714,72782,45993.99
216771,160367,32398.77
160198,856253,70091.21
282700,1088139,30962
12541,1013442,26661
420846,565528,93369.19
24859,122606,62276
381223,1286015,33934.99
143014,172591,27200.39
74388,1177706,71893.17
76426,1270813,64843.81
208149,1108787,87219.59
169367,100736,29113.93
349738,46456,29051.33
50038,107862,29010.73
171169,1130494,30476.63
607610,137048,34634.22
644582,488785,38960.2
150162,1014349,94172.16
212414,278807,31937.79
196191,341924,37030.98
15701,489595,55936.39
255590,1158386,28563.45
58577,772350,30609.53
417714,948010,73071.75
38601,163622,57231.81
163343,212441,24139.43
74156,1027036,27399.96
1097364,963265,40071.55
49604,962775,54759.19
231497,1010034,60197.99
137957,237657,36824.66
106972,1054081,64900.79
253253,87388,64007.32
823518,1047128,28240.49
230689,1243976,38663.98
218881,1062263,27235.65
190459,1026605,28036.94
212494,113827,31110.96
810349,1014421,33702.75
495091,1101823,68728.1
327466,462730,33719.38
708506,947724,61839.54
8937,1482833,107882.16
58001,1062688,96432.18
694071,958584,75291.71
236206,201881,42497.38
283455,1000749,75518.88
64352,1050096,98633.52
153805,1001173,76239.61
91254,110024,34072.4
84260,1217926,25581.17
268827,249696,80197.32
147095,212926,30153.06
250834,1537860,22927.19
186046,413097,33278.01
37639,1243344,55798.6
115501,1088412,30164.01
190349,117081,94834.08
455048,1161049,73089
462928,190198,37711.27
231996,1013822,28007.56
194625,967474,53573.69
80500,1018369,64498.88
22030,201254,37494.23
268525,384218,23345.06
224275,1201573,66114.8
455042,295130,24288.56
123956,276415,46046.26
185867,1222188,34593.33
172845,288866,69277.97
59547,17749,34064.69
462552,794252,95896.28
462665,210936,85928.97
1036985,207309,36018.3
135358,1154601,33344.71
118325,1463132,36538.04
219066,1114620,24594.46
73187,1348583,28479.88
35736,91572,31319.88
43386,1324933,98845.62
126974,1039384,31599.97
8937,341924,28194.64
455817,1204158,95907.77
220392,180042,63740.19
138857,952122,69658.33
43347,846258,31711.85
45914,930010,28697.06
36272,1201589,74882.71
231747,1065877,30373.68
834483,946889,86903.86
217497,180988,26938.68
113064,1287509,28930.53
173244,190504,81495.36
80321,51517,32939.71
164835,149602,32575.48
609881,793842,26619.17
150336,549712,74024.06
74193,172507,34435.26
29278,277477,30334.94
19269,1263822,67027.54
132200,1088168,37768.33
517880,348740,30468.58
289583,1182871,66868.6
395676,153661,75497.59
178030,1455776,36443.66
115501,1490529,32875.66
539853,84517,35049.19
1553354,1524611,35190.48
64972,1285638,28703.5
43572,1039169,103936.61
248013,1088139,69843.79
42707,617517,31112.83
341382,131706,26739.79
417829,982672,30678.33
678909,1034591,29081.84
1184996,180766,28099.81
194625,947600,81522.97
66570,1070190,104037.9
669321,183586,31772.19
31195,963420,76548.2
60709,1328615,84918.35
3014,1325077,36660.17
172110,1118003,28298.35
61251,946879,26728.78
236326,317399,69631.25
41682,1118378,29154.69
40852,1343383,27910.25
18936,67565,40420.74
124089,589147,64616.55
106781,108258,45573.6
107975,114833,78319.88
203645,220054,24526.2
